"Name","Description"
"Software Engineering","The application of a systematic, disciplined, quantifiable approach to the development, operation, and maintenance of software"
"Machine Learning","Machine learning is an application of artificial intelligence (AI) that provides systems the ability to automatically learn and improve from experience without being explicitly programmed. Machine learning focuses on the development of computer programs that can access data and use it learn for themselves."
"Mathematics","the abstract science of number, quantity, and space, either as abstract concepts ( pure mathematics ), or as applied to other disciplines such as physics and engineering ( applied mathematics )."
"Business Administration","The definition of business administration is a program of study offered at universities and colleges that focuses on business theory, practices and management. An example of business administration is a class on the principles of accounting."
"Finance","Finance is a field that deals with the study of investments. It includes the dynamics of assets and liabilities over time under conditions of different degrees of uncertainty and risk. Finance can also be defined as the science of money management. Finance aims to price assets based on their risk level and their expected rate of return. Finance can be broken into three sub-categories: public finance, corporate finance and personal finance."
